run_id,experiment,author,date,source_commit,ns3_version,command,topology,aggregation,rts,configured_duration_s,measurement_interval,metric,value,units,capture_reference,notes
wifi-baseline,WiFi baseline,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3""","AP=(0,0,0) m; STA=(10,0,0) m; distance=10 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,31.9758,Mbit/s,,100 Mbps offered; HtMcs4; 5 GHz; 20 MHz; GI=800 ns default; TcpNewReno; payloadSize=1472 bytes; default RngSeed=1/RngRun=1; PCAP disabled; source unchanged from commit; SHA256=6a1f42017805d89489baee8af730b35402397ba574f830704d67f6794d426be0; measurements and source hash predate descriptive filename changes
wifi-distance-055m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=55""","AP=(0,0,0) m; STA=(55,0,0) m; distance=55 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.2761,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-060m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=60""","AP=(0,0,0) m; STA=(60,0,0) m; distance=60 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.2761,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-065m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=65""","AP=(0,0,0) m; STA=(65,0,0) m; distance=65 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.2761,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-070m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=70""","AP=(0,0,0) m; STA=(70,0,0) m; distance=70 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.2761,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-075m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=75""","AP=(0,0,0) m; STA=(75,0,0) m; distance=75 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.2761,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-080m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=80""","AP=(0,0,0) m; STA=(80,0,0) m; distance=80 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.2761,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-085m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=85""","AP=(0,0,0) m; STA=(85,0,0) m; distance=85 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.28,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-090m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=90""","AP=(0,0,0) m; STA=(90,0,0) m; distance=90 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.3428,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-095m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=95""","AP=(0,0,0) m; STA=(95,0,0) m; distance=95 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.3428,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-100m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=100""","AP=(0,0,0) m; STA=(100,0,0) m; distance=100 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.3428,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-105m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=105""","AP=(0,0,0) m; STA=(105,0,0) m; distance=105 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.3428,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-110m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=110""","AP=(0,0,0) m; STA=(110,0,0) m; distance=110 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.3428,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-115m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=115""","AP=(0,0,0) m; STA=(115,0,0) m; distance=115 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.3428,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-120m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=120""","AP=(0,0,0) m; STA=(120,0,0) m; distance=120 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.3428,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-125m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=125""","AP=(0,0,0) m; STA=(125,0,0) m; distance=125 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.4998,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-130m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=130""","AP=(0,0,0) m; STA=(130,0,0) m; distance=130 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.4959,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-135m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=135""","AP=(0,0,0) m; STA=(135,0,0) m; distance=135 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.3428,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-140m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=140""","AP=(0,0,0) m; STA=(140,0,0) m; distance=140 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.3428,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-145m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=145""","AP=(0,0,0) m; STA=(145,0,0) m; distance=145 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.3428,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-150m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=150""","AP=(0,0,0) m; STA=(150,0,0) m; distance=150 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.4998,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-155m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=155""","AP=(0,0,0) m; STA=(155,0,0) m; distance=155 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.4998,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-160m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=160""","AP=(0,0,0) m; STA=(160,0,0) m; distance=160 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.4959,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-165m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=165""","AP=(0,0,0) m; STA=(165,0,0) m; distance=165 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.4959,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-170m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=170""","AP=(0,0,0) m; STA=(170,0,0) m; distance=170 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.4959,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
wifi-distance-175m,WiFi distance sweep,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi-throughput --phyRate=HtMcs4 --simulationTime=3 --distance=175""","AP=(0,0,0) m; STA=(175,0,0) m; distance=175 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.2722,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; measurements and source hash predate descriptive filename changes
